Passage_ID,Novel,Text,Allusion_Type,Biblical_Source,Allusion_Function,Confidence_Level,Analysis_Notes,Annotator,Timestamp
1,Song of Solomon (1977),Matthew,Thematic_Reference,Matthew,Thematic_Development,100,,JM,2025-12-05T20:29:03.050Z
2,Tar Baby (1981),Gideon,Structural_Echo,Gideon,Narrative_Structure,90,,JM,2025-12-05T20:32:20.202Z
3,Beloved (1987),Paul,No_Allusion,Paul,Characterization,58,,JM,2025-12-05T20:34:42.501Z
4,Song of Solomon (1977),charity,Thematic_Reference,Charity,Thematic_Development,80,,JM,2025-12-06T15:18:31.610Z
5,Beloved (1987),Paul,No_Allusion,Paul,Narrative_Structure,85,,JM,2025-12-06T15:19:20.775Z
6,Song of Solomon (1977),Solomon,No_Allusion,Solomon,Narrative_Structure,85,,JM,2025-12-06T15:20:19.363Z
7,Song of Solomon (1977),Hagar,No_Allusion,Hagar,Narrative_Structure,70,,JM,2025-12-06T15:21:00.164Z
9,Song of Solomon (1977),Ruth,No_Allusion,Ruth,Characterization,100,,JM,2025-12-06T15:37:10.460Z
8,Tar Baby (1981),lot,No_Allusion,Lot,Narrative_Structure,70,,JM,2025-12-06T15:36:17.383Z
10,Paradise (1998),lot,No_Allusion,Lot,Characterization,70,,JM,2025-12-06T15:43:38.320Z
11,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,JM,2025-12-06T15:44:21.634Z
12,Beloved (1987),faith,Paraphrase,Faith,Thematic_Development,44,,JM,2025-12-06T15:46:12.464Z
13,Paradise (1998),Grace,No_Allusion,Grace,Characterization,80,,JM,2025-12-06T15:46:41.642Z
14,Song of Solomon (1977),Babylon,Thematic_Reference,Babylon,Thematic_Development,100,,JM,2025-12-06T15:47:39.819Z
15,Song of Solomon (1977),Solomon,No_Allusion,Solomon,Characterization,85,,JM,2025-12-06T15:48:46.871Z
16,Tar Baby (1981),Mary,No_Allusion,Mary,Narrative_Structure,85,,JM,2025-12-06T15:49:18.349Z
17,Song of Solomon (1977),Pilate,Structural_Echo,Pilate,Thematic_Development,100,,JM,2025-12-06T15:50:14.588Z
18,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,100,,JM,2025-12-06T15:51:24.493Z
19,Song of Solomon (1977),Lot,No_Allusion,Lot,Narrative_Structure,100,,JM,2025-12-06T15:52:02.533Z
20,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,85,,JM,2025-12-06T15:52:45.368Z
21,Beloved (1987),Paul,No_Allusion,Paul,Narrative_Structure,85,,JM,2025-12-06T15:53:18.845Z
22,Beloved (1987),Paul,No_Allusion,Paul,Cultural_Commentary,26,,JM,2025-12-06T15:54:31.634Z
23,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,85,,JM,2025-12-06T15:55:47.317Z
24,Paradise (1998),job,No_Allusion,Job,Narrative_Structure,90,,JM,2025-12-06T15:56:14.175Z
25,Song of Solomon (1977),Solomon,Character_Reference,Solomon,Characterization,85,,JM,2025-12-06T15:56:46.355Z
26,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,JM,2025-12-06T15:57:17.241Z
27,A Mercy (2008),Judith,No_Allusion,Judith,Narrative_Structure,85,,JM,2025-12-06T15:57:56.164Z
28,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,JM,2025-12-06T15:58:32.133Z
29,The Bluest Eye (1970),hope,No_Allusion,Hope,Narrative_Structure,80,,JM,2025-12-06T15:59:26.180Z
30,Tar Baby (1981),lot,No_Allusion,Lot,Narrative_Structure,100,,JM,2025-12-06T15:59:52.504Z
31,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,JM,2025-12-07T05:35:25.225Z
32,Song of Solomon (1977),Grace,Thematic_Reference,Grace,Thematic_Development,80,,JM,2025-12-07T05:37:05.835Z
33,A Mercy (2008),Jacob,Character_Reference,Jacob,Characterization,85,,JM,2025-12-07T05:37:13.309Z
34,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,85,,JM,2025-12-07T05:37:20.889Z
35,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,JM,2025-12-07T05:37:26.805Z
36,Tar Baby (1981),Gideon,Character_Reference,Gideon,Characterization,70,,JM,2025-12-07T05:37:35.725Z
37,Jazz (1992),job,No_Allusion,Job,,90,,JM,2025-12-07T05:37:41.263Z
38,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,JM,2025-12-07T05:37:46.510Z
39,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,85,,JM,2025-12-07T05:37:53.200Z
40,Paradise (1998),Mary,Character_Reference,Mary,Characterization,85,,JM,2025-12-07T05:37:59.470Z
41,Paradise (1998),Aaron,Character_Reference,Aaron,Characterization,85,,JM,2025-12-07T05:38:06.275Z
42,Paradise (1998),job,No_Allusion,Job,,90,,JM,2025-12-07T05:38:48.867Z
43,Paradise (1998),Zechariah,Character_Reference,Zechariah,Characterization,90,,JM,2025-12-07T05:38:54.531Z
44,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,JM,2025-12-07T05:39:00.844Z
45,Song of Solomon (1977),lot,No_Allusion,Lot,,70,,JM,2025-12-07T05:39:04.701Z
46,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,JM,2025-12-07T05:39:46.492Z
47,Paradise (1998),Zechariah,Character_Reference,Zechariah,Characterization,90,,JM,2025-12-07T05:40:20.373Z
48,Paradise (1998),lot,No_Allusion,Lot,,70,,JM,2025-12-07T05:40:24.469Z
