Passage_ID,Novel,Text,Allusion_Type,Biblical_Source,Allusion_Function,Confidence_Level,Analysis_Notes,Annotator,Timestamp
18,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,78,"",Temitayo,2025-12-07T08:33:45.861Z
4,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,85,"",Temitayo,2025-12-07T05:57:27.748Z
5,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,85,"",Temitayo,2025-12-07T05:59:02.691Z
7,Song of Solomon (1977),"Pilate",Character_Reference,Pilate,Characterization,75,"",Temitayo,2025-12-07T06:00:01.492Z
8,Beloved (1987),"John",Character_Reference,John,Characterization,90,"",Temitayo,2025-12-07T06:00:18.566Z
6,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,85,"",Temitayo,2025-12-07T06:00:34.902Z
9,Tar Baby (1981),"Gideon",Character_Reference,Gideon,Characterization,70,"",Temitayo,2025-12-07T06:00:50.345Z
10,Song of Solomon (1977),"Solomon",Character_Reference,Solomon,Characterization,85,"",Temitayo,2025-12-07T06:01:01.397Z
11,Jazz (1992),"Eden",Character_Reference,Eden,Thematic_Development,70,"",Temitayo,2025-12-07T06:01:23.870Z
231,Song of Solomon (1977),"Ruth",Character_Reference,Ruth,Characterization,90,"",Temitayo,2025-12-07T06:01:58.312Z
230,Paradise (1998),"lot",No_Allusion,Lot,,70,"",Temitayo,2025-12-07T06:02:18.605Z
229,Sula (1973),"Jesus",Thematic_Reference,Jesus,Thematic_Development,85,"",Temitayo,2025-12-07T06:04:13.827Z
228,Song of Solomon (1977),"Grace",Character_Reference,Grace,Characterization,80,"",Temitayo,2025-12-07T06:04:31.908Z
227,Tar Baby (1981),"job",No_Allusion,Job,,90,"",Temitayo,2025-12-07T06:04:58.950Z
226,A Mercy (2008),"Jacob",Character_Reference,Jacob,Characterization,85,"",Temitayo,2025-12-07T06:05:11.300Z
223,Tar Baby (1981),"Gideon",Character_Reference,Gideon,Characterization,70,"",Temitayo,2025-12-07T06:05:30.599Z
224,The Bluest Eye (1970),"Cain",Character_Reference,Cain,Characterization,90,"",Temitayo,2025-12-07T06:05:45.123Z
225,Jazz (1992),"job",No_Allusion,Job,,90,"",Temitayo,2025-12-07T06:05:52.249Z
219,The Bluest Eye (1970),"Mary",Character_Reference,Mary,Characterization,68,"",Temitayo,2025-12-07T06:06:47.240Z
220,Tar Baby (1981),"hope",Thematic_Reference,Hope,Thematic_Development,80,"",Temitayo,2025-12-07T06:07:04.740Z
221,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,67,"",Temitayo,2025-12-07T06:07:15.859Z
222,Song of Solomon (1977),"Hagar",Character_Reference,Hagar,Characterization,85,"",Temitayo,2025-12-07T06:07:29.720Z
215,Song of Solomon (1977),"Hagar",Character_Reference,Hagar,Characterization,80,"",Temitayo,2025-12-07T06:07:45.926Z
216,Paradise (1998),"Esther",Character_Reference,Esther,Thematic_Development,90,"",Temitayo,2025-12-07T06:07:59.511Z
217,Paradise (1998),"Matthew",Thematic_Reference,Matthew,Thematic_Development,90,"",Temitayo,2025-12-07T06:08:10.345Z
218,Song of Solomon (1977),"hope",Thematic_Reference,Hope,Narrative_Structure,80,"",Temitayo,2025-12-07T06:08:32.980Z
211,Paradise (1998),"faith",Thematic_Reference,Faith,Thematic_Development,80,"",Temitayo,2025-12-07T06:08:53.860Z
212,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,68,"",Temitayo,2025-12-07T06:09:04.578Z
213,Sula (1973),"lot",No_Allusion,Lot,,70,"",Temitayo,2025-12-07T06:09:12.643Z
214,Beloved (1987),"John",Character_Reference,John,Characterization,90,"",Temitayo,2025-12-07T06:09:27.751Z
207,The Bluest Eye (1970),"redemption",Thematic_Reference,Redemption,Thematic_Development,80,"",Temitayo,2025-12-07T06:09:48.945Z
208,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,73,"",Temitayo,2025-12-07T06:09:58.816Z
209,Sula (1973),"Jude",Character_Reference,Jude,Characterization,90,"",Temitayo,2025-12-07T06:10:09.072Z
210,Song of Solomon (1977),"Mary",Character_Reference,Mary,Characterization,85,"",Temitayo,2025-12-07T06:10:23.733Z
203,Song of Solomon (1977),"Hagar",Character_Reference,Hagar,Characterization,91,"",Temitayo,2025-12-07T06:10:41.946Z
204,Paradise (1998),"Calvary",Thematic_Reference,Calvary,Thematic_Development,80,"",Temitayo,2025-12-07T06:11:03.738Z
205,Song of Solomon (1977),"Hagar",Character_Reference,Hagar,Characterization,85,"",Temitayo,2025-12-07T06:11:17.037Z
206,Beloved (1987),"John",Character_Reference,John,Narrative_Structure,71,"",Temitayo,2025-12-07T06:11:57.618Z
202,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,73,"",Temitayo,2025-12-07T06:12:10.039Z
201,The Bluest Eye (1970),"Jesus",Thematic_Reference,Jesus,Thematic_Development,90,"",Temitayo,2025-12-07T06:12:27.228Z
200,The Bluest Eye (1970),"Mary",Character_Reference,Mary,Characterization,72,"",Temitayo,2025-12-07T06:12:50.763Z
199,Song of Solomon (1977),"Hagar",Character_Reference,Hagar,Characterization,85,"",Temitayo,2025-12-07T06:13:02.429Z
198,Song of Solomon (1977),"Pilate",Character_Reference,Pilate,Characterization,77,"",Temitayo,2025-12-07T06:13:19.803Z
197,Paradise (1998),"mark",Thematic_Reference,Mark,Thematic_Development,90,"",Temitayo,2025-12-07T06:13:50.352Z
196,Paradise (1998),"Mary",Character_Reference,Mary,Characterization,71,"Immitating Mary Magdalene in the Bible",Temitayo,2025-12-07T06:14:34.148Z
195,Beloved (1987),"job",No_Allusion,Job,,90,"",Temitayo,2025-12-07T06:14:44.754Z
194,Beloved (1987),"job",No_Allusion,Job,,90,"",Temitayo,2025-12-07T06:14:53.562Z
193,Beloved (1987),"lot",No_Allusion,Lot,,70,"",Temitayo,2025-12-07T06:15:17.530Z
191,Jazz (1992),"lot",No_Allusion,Lot,,70,"",Temitayo,2025-12-07T06:15:25.302Z
192,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,74,"",Temitayo,2025-12-07T06:15:37.109Z
189,Song of Solomon (1977),"Pilate",Character_Reference,Pilate,Characterization,77,"",Temitayo,2025-12-07T06:15:48.695Z
190,Song of Solomon (1977),"Hagar",Character_Reference,Hagar,Characterization,85,"",Temitayo,2025-12-07T06:16:02.193Z
188,Paradise (1998),"Zechariah",Character_Reference,Zechariah,Characterization,90,"",Temitayo,2025-12-07T06:16:18.546Z
187,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,77,"",Temitayo,2025-12-07T06:16:30.778Z
186,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,75,"",Temitayo,2025-12-07T06:16:46.537Z
349,Paradise (1998),"Zechariah",Character_Reference,Zechariah,Characterization,90,"",Temitayo,2025-12-07T07:03:39.439Z
350,Beloved (1987),"lot",No_Allusion,Lot,,70,"",Temitayo,2025-12-07T07:03:50.890Z
351,Paradise (1998),"James",Character_Reference,James,Characterization,72,"",Temitayo,2025-12-07T07:04:04.965Z
352,Song of Solomon (1977),"Hagar",Character_Reference,Hagar,Characterization,89,"",Temitayo,2025-12-07T07:04:20.010Z
340,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,85,"",Temitayo,2025-12-07T07:04:32.094Z
341,Song of Solomon (1977),"Pilate",Character_Reference,Pilate,Characterization,70,"",Temitayo,2025-12-07T07:04:40.768Z
342,Song of Solomon (1977),"Pilate",Character_Reference,Pilate,Characterization,70,"",Temitayo,2025-12-07T07:04:55.778Z
343,Song of Solomon (1977),"Solomon",Character_Reference,Solomon,Characterization,85,"",Temitayo,2025-12-07T07:05:12.202Z
344,Song of Solomon (1977),"Pilate",Character_Reference,Pilate,Characterization,70,"",Temitayo,2025-12-07T07:05:26.445Z
345,The Bluest Eye (1970),"Micah",Thematic_Reference,Micah,Thematic_Development,90,"",Temitayo,2025-12-07T07:05:45.329Z
346,A Mercy (2008),"Mary",Thematic_Reference,Mary,Thematic_Development,78,"",Temitayo,2025-12-07T07:06:07.331Z
347,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,85,"",Temitayo,2025-12-07T07:06:19.583Z
348,Sula (1973),"lot",No_Allusion,Lot,,70,"",Temitayo,2025-12-07T07:06:29.853Z
320,Sula (1973),"Jesus",Thematic_Reference,Jesus,Thematic_Development,85,"",Temitayo,2025-12-07T07:08:09.152Z
321,Song of Solomon (1977),"Pilate",Character_Reference,Pilate,Characterization,85,"",Temitayo,2025-12-07T07:08:43.575Z
322,Tar Baby (1981),"Gideon",Character_Reference,Gideon,Characterization,82,"",Temitayo,2025-12-07T07:08:54.142Z
323,Song of Solomon (1977),"Jesus",Thematic_Reference,Jesus,Thematic_Development,85,"",Temitayo,2025-12-07T07:09:58.634Z
324,Tar Baby (1981),"Paul",Character_Reference,Paul,Characterization,75,"",Temitayo,2025-12-07T07:10:11.568Z
325,Beloved (1987),"Paul",Character_Reference,Paul,Characterization,78,"",Temitayo,2025-12-07T07:10:23.666Z
