Passage_ID,Novel,Text,Allusion_Type,Biblical_Source,Allusion_Function,Confidence_Level,Analysis_Notes,Annotator,Timestamp,label
1,Song of Solomon (1977),grace,Thematic_Reference,Grace,Narrative_Structure,80,,Batemmy,2025-12-04T23:32:22.502Z,1
2,Song of Solomon (1977),Ruth,Thematic_Reference,Ruth,Characterization,90,,Batemmy,2025-12-04T23:32:50.809Z,1
3,Tar Baby (1981),job,No_Allusion,Job,,100,,Batemmy,2025-12-04T23:33:33.787Z,0
4,Beloved (1987),Jesus,Character_Reference,Jesus,Characterization,100,,Batemmy,2025-12-04T23:34:24.517Z,1
5,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,100,,Batemmy,2025-12-04T23:34:38.924Z,1
6,A Mercy (2008),hope,Thematic_Reference,Hope,Spiritual_Dimension,100,,Batemmy,2025-12-04T23:35:13.719Z,1
7,Tar Baby (1981),lot,No_Allusion,Lot,,100,,Batemmy,2025-12-04T23:35:38.998Z,0
8,Beloved (1987),Paul,Character_Reference,Paul,Characterization,100,,Batemmy,2025-12-04T23:36:12.994Z,1
9,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,100,,Batemmy,2025-12-04T23:36:34.161Z,1
10,A Mercy (2008),hope,Thematic_Reference,Hope,Narrative_Structure,80,,Batemmy,2025-12-04T23:37:09.440Z,1
11,Tar Baby (1981),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-04T23:37:45.935Z,1
12,The Bluest Eye (1970),Job,Character_Reference,Job,Characterization,90,,Batemmy,2025-12-04T23:38:48.427Z,1
13,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,85,,Batemmy,2025-12-04T23:39:11.199Z,1
14,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-04T23:39:32.692Z,1
15,Song of Solomon (1977),Numbers,No_Allusion,Numbers,,90,,Batemmy,2025-12-04T23:39:59.373Z,0
16,Song of Solomon (1977),Ruth,Thematic_Reference,Ruth,Characterization,90,,Batemmy,2025-12-04T23:41:06.790Z,1
17,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-04T23:41:24.606Z,1
18,Sula (1973),Jesus,Character_Reference,Jesus,Characterization,85,,Batemmy,2025-12-04T23:41:41.510Z,1
19,A Mercy (2008),Jacob,Character_Reference,Jacob,Characterization,85,,Batemmy,2025-12-04T23:41:57.333Z,1
20,Paradise (1998),Esther,Thematic_Reference,Esther,Characterization,90,,Batemmy,2025-12-04T23:42:20.776Z,1
21,Paradise (1998),Zechariah,Thematic_Reference,Zechariah,Characterization,90,,Batemmy,2025-12-04T23:42:54.099Z,1
