Passage_ID,Novel,Text,Allusion_Type,Biblical_Source,Allusion_Function,Confidence_Level,Analysis_Notes,Annotator,Timestamp,label
1459,Song of Solomon (1977),lot,No_Allusion,Lot,,70,,Batemmy,2025-12-07T05:22:13.043Z,0
1247,The Bluest Eye (1970),Moses,Character_Reference,Moses,Characterization,70,,Batemmy,2025-12-07T04:50:20.808Z,1
1245,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-07T04:50:09.236Z,1
423,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T02:59:59.168Z,1
610,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T22:28:11.338Z,1
1109,Beloved (1987),lot,No_Allusion,Lot,,70,,Batemmy,2025-12-07T04:25:36.155Z,0
384,Paradise (1998),Mark,No_Allusion,Mark,,90,,Batemmy,2025-12-05T02:46:19.729Z,0
1425,Tar Baby (1981),Gideon,Character_Reference,Gideon,Characterization,85,,Batemmy,2025-12-07T05:17:38.349Z,1
1336,Tar Baby (1981),Gideon,Character_Reference,Gideon,Characterization,70,,Batemmy,2025-12-07T05:04:39.600Z,1
1178,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,85,,Batemmy,2025-12-07T04:40:40.434Z,1
1046,A Mercy (2008),Jacob,Character_Reference,Jacob,Characterization,85,,Batemmy,2025-12-07T04:17:23.272Z,1
910,Jazz (1992),Eden,Thematic_Reference,Eden,Characterization,70,,Batemmy,2025-12-06T06:30:08.477Z,1
648,Tar Baby (1981),Joseph,Character_Reference,Joseph,Characterization,85,,Batemmy,2025-12-05T22:44:42.173Z,1
509,The Bluest Eye (1970),mark,No_Allusion,Mark,,90,,Batemmy,2025-12-05T21:41:11.661Z,0
1311,The Bluest Eye (1970),Samson,Character_Reference,Samson,Characterization,70,,Batemmy,2025-12-07T05:01:06.870Z,1
1166,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,85,,Batemmy,2025-12-07T04:39:13.400Z,1
624,Jazz (1992),hope,No_Allusion,Hope,,80,,Batemmy,2025-12-05T22:37:20.566Z,0
896,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-06T06:27:08.475Z,1
1087,Sula (1973),grace,Thematic_Reference,Grace,Thematic_Development,80,,Batemmy,2025-12-07T04:22:49.937Z,1
1113,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-07T04:26:01.909Z,1
889,Song of Solomon (1977),Solomon,Character_Reference,Solomon,Characterization,85,,Batemmy,2025-12-06T06:26:06.354Z,1
1449,Song of Solomon (1977),communion,Thematic_Reference,Communion,Thematic_Development,80,,Batemmy,2025-12-07T05:20:30.032Z,1
1259,Song of Solomon (1977),job,No_Allusion,Job,,90,,Batemmy,2025-12-07T04:53:32.592Z,0
1315,Song of Solomon (1977),Solomon,Character_Reference,Solomon,Characterization,85,,Batemmy,2025-12-07T05:01:38.166Z,1
1250,Paradise (1998),mark,No_Allusion,Mark,Characterization,90,,Batemmy,2025-12-07T04:51:27.403Z,0
577,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,100,,Batemmy,2025-12-05T22:16:33.327Z,1
584,Tar Baby (1981),EVE,Character_Reference,Eve,Characterization,70,,Batemmy,2025-12-05T22:18:58.097Z,1
1477,Beloved (1987),John,Character_Reference,John,Characterization,90,,Batemmy,2025-12-07T05:24:51.247Z,1
373,Beloved (1987),Jesus,Character_Reference,Jesus,Characterization,85,,Batemmy,2025-12-05T02:43:37.199Z,1
218,Song of Solomon (1977),hope,Thematic_Reference,Hope,Narrative_Structure,80,,Temitayo,2025-12-07T06:08:32.980Z,1
418,The Bluest Eye (1970),Jesus,Character_Reference,Jesus,Characterization,85,,Batemmy,2025-12-05T02:58:10.220Z,1
614,Song of Solomon (1977),Grace,No_Allusion,Grace,,80,,Batemmy,2025-12-05T22:30:20.799Z,0
554,Tar Baby (1981),Eve,No_Allusion,Eve,,70,,Batemmy,2025-12-05T22:09:44.705Z,0
1333,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,85,,Batemmy,2025-12-07T05:04:19.995Z,1
612,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T22:28:38.963Z,1
592,Sula (1973),Jude,Character_Reference,Jude,Characterization,90,,Batemmy,2025-12-05T22:20:42.470Z,1
394,Tar Baby (1981),grace,Thematic_Reference,Grace,Thematic_Development,80,,Batemmy,2025-12-05T02:48:19.302Z,1
1150,A Mercy (2008),Jacob,Character_Reference,Jacob,Characterization,85,,Batemmy,2025-12-07T04:37:18.295Z,1
